date,ticker,event_type,region,source,company_confidence,entry_date,CAR_1d,CAR_5d,CAR_10d,CAR_21d
2015-07-14,MOWI.OL,ISA,Troms,STUB,LOW,2015-07-15,0.017871014402682794,0.02051386609384931,0.024802531141334905,0.018262399271150365
2016-09-19,GSF.OL,PD,Rogaland,STUB,LOW,2016-09-20,-0.018715436349234338,0.052669033708606205,0.10124500377291623,0.2237393935163683
2017-05-08,LSG.OL,PD,Hordaland,STUB,LOW,2017-05-09,0.004293117854440975,0.03265972997679967,0.06461429145982656,0.07992063379213954
2017-09-25,SALM.OL,ISA,Nordland,STUB,LOW,2017-09-26,-0.0038631163065647733,0.0019272739424903707,0.014359638098888627,0.08397042188076687
2017-12-11,MOWI.OL,MORTALITY,Nordland,STUB,LOW,2017-12-12,-0.0031591104686157223,0.02185748654205477,0.003805703214925571,0.03482332600525406
2018-03-12,MOWI.OL,ISA,Troms,STUB,LOW,2018-03-13,-0.0021429572606777025,-0.003691692420003112,-0.006814062072283411,-0.04292400430744747
2018-07-30,GSF.OL,PD,Rogaland,STUB,LOW,2018-07-31,0.022094946469225496,0.04121269541394801,0.007448887545652649,-0.01001447001616218
2018-11-06,LSG.OL,ISA,Hordaland,STUB,LOW,2018-11-07,0.003772042992190472,-0.005785460692210975,-0.0027369020501833985,-0.053752197973148785
2019-05-23,SALM.OL,MORTALITY,Nordland/Troms,STUB,MEDIUM,2019-05-24,-0.025766440536106883,-0.024612333391907604,-0.05367348438597086,-0.03740967112310356
2019-05-23,MOWI.OL,MORTALITY,Nordland/Troms,STUB,HIGH,2019-05-24,-0.022490534295360964,-0.031235977729544562,-0.009089822977718653,0.003592621028046805
2019-11-11,MOWI.OL,PD,Møre og Romsdal,STUB,LOW,2019-11-12,0.011451059351257231,0.06753042570218815,0.04835039505212013,0.007632760196399246
2020-03-03,MOWI.OL,ISA,Nordland,STUB,LOW,2020-03-04,-0.012653438962213048,0.007269886790804758,0.05403186083116007,-0.03320647827187362
2021-02-10,GSF.OL,MORTALITY,Rogaland,STUB,LOW,2021-02-11,-0.03907792934274268,-0.06405842596891964,-0.04311089499486709,-0.010486126528890471
2021-04-06,GSF.OL,PD,Rogaland,STUB,LOW,2021-04-07,0.03790056517547369,0.02762748729676534,-0.037325249910546865,-0.036263865310202315
2021-08-17,SALM.OL,ISA,Trøndelag,STUB,LOW,2021-08-18,-0.0098796412799953,0.004832406589885374,-0.011087047217719359,-0.011148534583499403
2022-05-24,GSF.OL,ISA,Finnmark,STUB,LOW,2022-05-25,0.019171946048039956,-0.037981817322557454,-0.0378835782697301,0.01942366671337603
2023-02-28,MOWI.OL,ISA,Troms,STUB,LOW,2023-03-01,-0.0012315328547449766,-0.0066770189657148205,0.03456029187084109,0.042054179152975935
